Session no.,Resp. no.,Anti/Pro,Q1_1,Q1_2,Q1_3,Q1_4,Q1-5,Q1_6,Q1_7,Q1_8,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3,Q4
1,1,Pro,2,3,3,3,2,2,2,2,10,9,10,0,2,2,0,0,50,30
1,2,Anti,5,5,1,1,5,1,1,5,10,8,10,0,10,10,1,0,0,100
2,3,Anti,4,5,4,2,3,3,2,3,10,8,9,1,0,1,0,0,35,80
2,4,Pro,1,2,4,4,1,3,1,2,5,4,5,0,5,2,5,5,90,40
3,5,Anti,5,5,2,2,4,3,2,2,10,10,7,5,5,2,0,0,50,70
3,6,Pro,3,3,4,4,2,4,3,2,6,6,10,2,2,5,2,2,50,38
4,7,Anti,4,4,2,2,4,2,1,4,5,5,5,0,5,10,5,0,50,100
4,8,Pro,2,1,4,4,1,5,5,1,10,10,5,0,5,10,0,0,100,0
5,9,Pro,1,1,4,5,1,4,5,1,5,10,10,5,5,5,0,0,100,50
5,10,Anti,4,4,2,2,3,3,2,3,10,5,5,5,5,10,5,0,50,50
6,11,Pro,1,1,5,5,1,3,4,2,5,10,10,0,10,5,0,0,50,50
6,12,Anti,5,5,1,1,4,1,1,4,6,5,10,10,10,10,5,0,0,100
7,13,Anti,4,4,2,1,4,2,1,3,5,5,0,10,5,5,0,0,50,50
7,14,Pro,1,2,5,5,1,5,4,1,0,10,5,0,5,5,0,0,100,0
8,15,Pro,1,1,4,5,1,5,5,1,10,5,5,0,5,5,0,0,100,0
8,16,Anti,5,4,1,1,4,1,1,4,5,5,5,10,10,5,0,0,0,50
9,17,Pro,1,2,5,5,1,4,5,1,10,10,5,0,0,0,0,0,100,0
9,18,Anti,4,4,3,3,3,2,3,3,5,5,5,5,5,5,0,0,50,50
10,19,Pro,1,1,4,4,1,5,5,4,10,10,5,0,0,0,0,0,100,0
10,20,Anti,4,4,3,2,3,3,3,3,5,5,5,0,0,0,0,0,50,50
11,21,Pro,2,2,4,4,2,4,5,2,5,5,5,0,5,5,0,0,50,50
11,22,Anti,5,5,1,1,4,1,1,4,5,5,10,10,5,5,0,0,0,100
12,23,Pro,1,1,5,5,1,5,5,1,10,10,5,5,5,5,0,0,100,50
12,24,Anti,5,5,1,1,5,1,1,4,10,5,10,10,10,10,5,0,0,100
13,25,Pro,2,2,3,3,3,3,3,3,5,10,5,0,5,5,0,0,50,50
13,26,Anti,5,5,1,1,4,1,1,4,5,5,10,10,10,10,5,0,0,100
14,27,Anti,4,4,2,2,4,2,2,3,5,5,10,5,5,5,0,0,50,50
14,28,Pro,2,2,4,4,3,3,4,2,5,5,10,5,5,5,0,0,50,50
15,29,Anti,4,4,3,2,3,2,2,3,5,5,5,5,5,5,0,0,50,50
15,30,Pro,1,1,5,5,1,4,4,1,10,10,5,0,5,5,0,0,100,0
16,31,Anti,4,4,3,3,4,4,4,3,5,5,5,5,0,5,0,0,50,50
16,32,Pro,2,2,4,4,1,4,4,2,10,5,10,0,0,0,0,0,50,0
17,33,Anti,4,4,2,3,4,2,2,4,5,5,5,5,5,5,0,0,0,50
17,34,Pro,2,2,4,4,1,4,4,1,0,10,10,10,5,5,0,0,100,50
18,35,Pro,1,2,5,5,1,3,5,1,10,10,10,0,0,0,0,0,100,0
18,36,Anti,3,3,2,3,3,3,3,2,5,5,5,0,5,5,0,0,50,50
19,37,Pro,2,2,4,4,2,4,4,1,10,10,5,0,5,5,0,0,50,0
19,38,Anti,4,4,2,2,4,2,2,3,5,5,10,5,5,5,5,0,0,50
20,39,Anti,4,4,3,2,3,2,2,3,5,5,10,5,5,10,0,0,50,100
20,40,Pro,1,1,4,5,1,4,4,1,10,5,10,0,0,0,0,0,100,50
21,41,Anti,5,5,2,1,4,2,2,4,5,5,10,10,10,10,5,0,0,100
21,42,Pro,2,2,4,4,2,4,4,2,10,10,10,5,5,5,0,0,50,0
22,43,Anti,4,4,2,2,4,2,2,3,5,5,5,5,5,5,5,0,50,100
22,44,Pro,2,2,4,4,3,3,4,2,5,5,10,5,5,5,0,0,50,0
23,45,Anti,3,3,3,2,3,2,2,3,5,5,5,5,5,5,0,0,50,50
23,46,Pro,1,1,5,5,1,3,4,1,10,10,10,0,5,5,0,0,100,0
24,47,Anti,3,4,3,2,4,3,2,4,7,7,9,9,5,5,5,3,0,70
24,48,Pro,1,1,2,5,2,5,3,1,10,5,10,0,5,5,5,1,60,40
25,49,Anti,3,4,5,3,2,3,4,4,10,10,9,0,5,0,0,0,0,59
25,50,Pro,2,3,5,5,3,4,3,3,10,9,8,0,1,0,0,0,70,30
26,51,Anti,3,3,3,4,3,2,2,2,10,10,7,0,0,0,0,0,40,60
26,52,Pro,2,4,5,4,1,5,3,1,10,9,10,1,1,1,1,1,70,30
27,53,Anti,5,4,2,2,4,3,4,3,10,9,10,3,7,5,0,0,0,90
27,54,Pro,1,2,3,4,2,4,3,2,10,10,10,2,5,5,0,0,60,30
28,55,Anti,2,5,1,1,3,1,1,2,5,7,8,3,9,9,7,6,10,90
28,56,Pro,2,3,5,5,3,5,3,2,10,10,7,0,1,0,0,0,50,50
29,57,Anti,2,4,5,4,2,4,3,1,8,10,10,0,7,4,0,1,70,35
29,58,Pro,3,3,4,4,3,4,3,2,10,10,10,0,5,4,0,0,50,50
30,59,Pro,2,2,4,4,2,3,3,2,8,9,10,1,5,5,0,0,70,40
30,60,Anti,2,2,3,3,4,3,2,4,10,10,10,0,5,7,5,0,50,70
31,61,Pro,2,2,5,4,1,4,3,1,10,10,10,0,3,6,0,0,50,65
31,62,Anti,5,5,1,2,2,3,2,3,10,8,10,0,5,5,0,0,50,50
32,63,Anti,5,5,1,2,5,2,1,4,10,9,10,1,0,0,0,0,30,100
