Subj,Base V1,V1,Base V2,V2,Base V3,V3,Base V4,V4
1,116,220.4,417.4,468.5,614.3,659.5,741.7,777.5
2,12,111.9,210.6,295.3,573,667.6,812.5,866.8
3,202.9,256,573.1,718.1,801.2,840.8,966.6,1006
4,90.9,136.1,412.5,448.9,590.4,631.5,717.4,750.3
5,72,137.4,308.6,353.3,534.6,580.9,759,860.7
6,21.9,69.8,370.7,427.8,589.1,653.4,1003.1,1052.2
7,34.8,90.5,268,323.8,500.6,547.2,655.4,708.8
8,86.6,133,358.9,400.5,511.4,581.2,717.7,768.8
9,122,185,523,564.7,714.9,756,894.4,935.8
10,38.9,78.1,296.8,344.6,632.8,699.6,792.7,862.2
11,12.3,64,237.1,281.3,450.3,504.5,763.5,802.2
12,68.8,123.8,290.5,329.7,466.3,512,758.6,801.4
13,74.1,122.8,279.6,320.6,586,628.4,721.4,759.3
14,67.1,122.7,244.4,290.7,461.3,522.4,667.2,782.7
15,92.2,155.7,279.6,315.7,565.8,606.5,812.5,850.7
16,58.9,113.3,488.1,535.3,1024.6,1069.8,1362.9,1406.4
17,51.5,105.6,232.1,273.6,497.8,538.2,803.8,844.9
18,11.7,55.8,365.8,414.7,520.4,577.3,736.2,821.8
19,33.5,76.7,347.4,389.8,541.4,582.6,695.8,738.1
20,49.6,95.9,351.9,390,673.2,713.6,889.4,928.8
21,40.5,86.9,256.3,294.5,399.9,440.2,578,624.5
22,58.5,119.8,390.8,429.7,578,620.1,754.2,789.6
23,42.1,85.1,243.8,283.1,372.3,427.1,696.2,751.2
